Type,Recommend
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-FUW"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-FUN"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-FUNA"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-MWU2"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-MNU2"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","U-MNUA2"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","XF408"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","XF403"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","XF05-2"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","DAPI-1160B"
"7-amino-4-methylcoumarin-3-acetic acid(AMCA)","DAPI-5060C"
